id,title,description,link,image_link,price,availability,condition,brand,google_product_category,custom_label_0
parfum-herren-12,Stronger With You Intensely,Stronger With You Intensely - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B0DBRGYTDB?tag=balu17051-21,"https://m.media-amazon.com/images/I/31DeydVIGEL._AC_SR160,134_.jpg",69.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-13,Bleu de Chanel EDP,Bleu de Chanel EDP - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B005712SJ8?tag=balu17051-21,"https://m.media-amazon.com/images/I/31MHesgIt3L._AC_SR160,134_.jpg",84.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-14,Azzaro The Most Wanted,Azzaro The Most Wanted - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B09VN62HF3?tag=balu17051-21,"https://m.media-amazon.com/images/I/315H8cnIcpL._AC_SR160,134_.jpg",94.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-15,MYSLF YSL,MYSLF YSL - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B0CFWQF39W?tag=balu17051-21,"https://m.media-amazon.com/images/I/31qqUFS2qZL._AC_SR160,134_.jpg",99.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-16,Acqua di Giò EDP,Acqua di Giò EDP - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B0DBRNZQ3K?tag=balu17051-21,"https://m.media-amazon.com/images/I/41n1QOCa5gL._AC_SR160,134_.jpg",74.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-17,Versace Eros EDP,Versace Eros EDP - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B08F5DBKVV?tag=balu17051-21,"https://m.media-amazon.com/images/I/31ieBD--OuL._AC_SR160,134_.jpg",89.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
parfum-herren-18,Creed Aventus,Creed Aventus - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/dp/B06ZZGNMYD?tag=balu17051-21,"https://m.media-amazon.com/images/I/21psm456SiL._AC_SR160,134_.jpg",149.99,in stock,new,Wohn-Fieber,Home & Garden,parfum-herren
haushaltshelfer-19,Saug- & Wischroboter,Saug- & Wischroboter - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Saugroboter&tag=balu17051-21,https://m.media-amazon.com/images/I/81dHxADHQ5L._AC_SL1500_.jpg,299.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-20,Heißluftfritteuse,Heißluftfritteuse - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Hei%C3%9Fluftfritteuse&tag=balu17051-21,https://m.media-amazon.com/images/I/81uOlPYW6VL._AC_SY300_SX300_QL70_ML2_.jpg,129.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-21,Multifunktions-Gemüseschneider,Multifunktions-Gemüseschneider - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Gem%C3%BCseschneider&tag=balu17051-21,https://m.media-amazon.com/images/I/71g2SjdtziL._AC_SX679_.jpg,24.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-22,Sprüh-Wischmopp,Sprüh-Wischmopp - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Spr%C3%BCh+Wischmop&tag=balu17051-21,https://m.media-amazon.com/images/I/61ir6L78GlL._AC_SX466_.jpg,29.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-23,Elektrischer Fenstersauger,Elektrischer Fenstersauger - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Fenstersauger&tag=balu17051-21,https://m.media-amazon.com/images/I/71vFo3KrkoL._AC_SY355_.jpg,39.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-24,Schmutzradierer / Zauberschwämme,Schmutzradierer / Zauberschwämme - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Schmutzradierer&tag=balu17051-21,https://m.media-amazon.com/images/I/8142wBkNwWL._AC_SX522_.jpg,9.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-25,Vakuumiergerät,Vakuumiergerät - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Vakuumierger%C3%A4t&tag=balu17051-21,https://m.media-amazon.com/images/I/718G1mHsA2L._AC_SX425_.jpg,69.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-26,Verstellbare Schubladen-Organizer,Verstellbare Schubladen-Organizer - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Schubladen+Organizer&tag=balu17051-21,https://m.media-amazon.com/images/I/81fmCBxgGdL._AC_SY450_.jpg,16.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
haushaltshelfer-27,Mikrofaser-Reinigungstücher,Mikrofaser-Reinigungstücher - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=Mikrofasert%C3%BCcher&tag=balu17051-21,https://m.media-amazon.com/images/I/71PSfoJi1zL._AC_SX569_.jpg,12.99,in stock,new,Wohn-Fieber,Home & Garden,haushaltshelfer
smart-home-28,Smart Steckdose WLAN,Smart Steckdose WLAN - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=smart+steckdose+wlan&tag=balu17051-21,"https://m.media-amazon.com/images/I/61NwGxOLYpL._AC_SR160,134_.jpg",19.99,in stock,new,Wohn-Fieber,Home & Garden,smart-home
smart-home-29,LED Strip WiFi RGB,LED Strip WiFi RGB - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=led+strip+wifi+rgb&tag=balu17051-21,"https://m.media-amazon.com/images/I/71rN3sJBIrL._AC_SR160,134_.jpg",24.99,in stock,new,Wohn-Fieber,Home & Garden,smart-home
smart-home-30,Tapo D205 Türklingel,Tapo D205 Türklingel - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=tapo+d205&tag=balu17051-21,https://m.media-amazon.com/images/I/61bZbYAhsL._AC_SL1500_.jpg,39.99,in stock,new,Wohn-Fieber,Home & Garden,smart-home
smart-home-31,Smart LED Glühbirne,Smart LED Glühbirne - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=smart+led+gluehbirne&tag=balu17051-21,"https://m.media-amazon.com/images/I/51s9tHfLpIL._AC_SR160,134_.jpg",14.99,in stock,new,Wohn-Fieber,Home & Garden,smart-home
smart-home-32,WLAN Temperatur Sensor,WLAN Temperatur Sensor - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=wlan+temperatur+sensor&tag=balu17051-21,"https://m.media-amazon.com/images/I/61pZvXQ6HBL._AC_SR160,134_.jpg",17.99,in stock,new,Wohn-Fieber,Home & Garden,smart-home
wellness-33,Aroma Diffusor 300ml,Aroma Diffusor 300ml - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=aroma+diffusor+300ml&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",29.99,in stock,new,Wohn-Fieber,Home & Garden,wellness
wellness-34,Yoga Matte Gepolstert,Yoga Matte Gepolstert - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=yoga+matte+gepolstert&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",22.99,in stock,new,Wohn-Fieber,Home & Garden,wellness
wellness-35,Massageball Set,Massageball Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=massageball+set&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",12.99,in stock,new,Wohn-Fieber,Home & Garden,wellness
wellness-36,Bademantel Baumwolle,Bademantel Baumwolle - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=bademantel+baumwolle&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",34.99,in stock,new,Wohn-Fieber,Home & Garden,wellness
wellness-37,Gesichtssauna Gerät,Gesichtssauna Gerät - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=gesichtssauna+geraet&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",49.99,in stock,new,Wohn-Fieber,Home & Garden,wellness
geschenke-38,Fotoleinwand Eigenes Foto,Fotoleinwand Eigenes Foto - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=fotoleinwand+eigenes+foto&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",19.99,in stock,new,Wohn-Fieber,Home & Garden,geschenke
geschenke-39,Gravur Set Holz Leder,Gravur Set Holz Leder - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=gravur+set+holz+leder&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",27.99,in stock,new,Wohn-Fieber,Home & Garden,geschenke
geschenke-40,Back Set Cupcake,Back Set Cupcake - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=back+set+cupcake&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",15.99,in stock,new,Wohn-Fieber,Home & Garden,geschenke
geschenke-41,Personalisierte Tasse,Personalisierte Tasse - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=personalisierte+tasse&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",12.99,in stock,new,Wohn-Fieber,Home & Garden,geschenke
geschenke-42,Geschenkbox Selber Machen,Geschenkbox Selber Machen - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=geschenkbox+selber+machen&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",18.99,in stock,new,Wohn-Fieber,Home & Garden,geschenke
balkon-garten-43,Balkon Sitzgruppe,Balkon Sitzgruppe - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=balkon+sitzgruppe&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",89.99,in stock,new,Wohn-Fieber,Home & Garden,balkon-garten
balkon-garten-44,Pflanzkasten Mit Bewässerung,Pflanzkasten Mit Bewässerung - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=pflanzkasten+bewaesserung&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",24.99,in stock,new,Wohn-Fieber,Home & Garden,balkon-garten
balkon-garten-45,LED Solar Lichterkette,LED Solar Lichterkette - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=solar+lichterkette+balkon&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",19.99,in stock,new,Wohn-Fieber,Home & Garden,balkon-garten
balkon-garten-46,Balkon Sonnensegel,Balkon Sonnensegel - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=balkon+sonnensegel&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",29.99,in stock,new,Wohn-Fieber,Home & Garden,balkon-garten
balkon-garten-47,Kräuter Hochbeet,Kräuter Hochbeet - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=kraeuter+hochbeet&tag=balu17051-21,"https://m.media-amazon.com/images/I/61pZvXQ6HBL._AC_SR160,134_.jpg",34.99,in stock,new,Wohn-Fieber,Home & Garden,balkon-garten
kuechenorganisation-48,Bambus Schubladen Organizer,Bambus Schubladen Organizer - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=bambus+schubladen+organizer&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",16.99,in stock,new,Wohn-Fieber,Home & Garden,kuechenorganisation
kuechenorganisation-49,Vorratsdosen Glas Set,Vorratsdosen Glas Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=vorratsdosen+glas+set&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",21.99,in stock,new,Wohn-Fieber,Home & Garden,kuechenorganisation
kuechenorganisation-50,Küchenregal Standregal,Küchenregal Standregal - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=kuichenregal+standregal&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",39.99,in stock,new,Wohn-Fieber,Home & Garden,kuechenorganisation
kuechenorganisation-51,Mülltrennsystem 3-fach,Mülltrennsystem 3-fach - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=muelltrennsystem+3+fach&tag=balu17051-21,"https://m.media-amazon.com/images/I/61pZvXQ6HBL._AC_SR160,134_.jpg",32.99,in stock,new,Wohn-Fieber,Home & Garden,kuechenorganisation
kuechenorganisation-52,Spülmaschinen Organizer,Spülmaschinen Organizer - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=spuelmaschinen+organizer&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",14.99,in stock,new,Wohn-Fieber,Home & Garden,kuechenorganisation
lego-53,LEGO Technic McLaren,LEGO Technic McLaren - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+technic+mclaren&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",49.99,in stock,new,Wohn-Fieber,Home & Garden,lego
lego-54,LEGO City Space,LEGO City Space - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+city+space&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",39.99,in stock,new,Wohn-Fieber,Home & Garden,lego
lego-55,LEGO Friends Tierhotel,LEGO Friends Tierhotel - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+friends+tierhotel&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",29.99,in stock,new,Wohn-Fieber,Home & Garden,lego
lego-56,LEGO Architecture Skyline,LEGO Architecture Skyline - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+architecture+skyline&tag=balu17051-21,"https://m.media-amazon.com/images/I/61pZvXQ6HBL._AC_SR160,134_.jpg",44.99,in stock,new,Wohn-Fieber,Home & Garden,lego
lego-57,LEGO Creator 3-in-1,LEGO Creator 3-in-1 - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+creator+3+in+1&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",24.99,in stock,new,Wohn-Fieber,Home & Garden,lego
diy-58,Akku Schrauber Set,Akku Schrauber Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=akku+schrauber+set&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",49.99,in stock,new,Wohn-Fieber,Home & Garden,diy
diy-59,Multifunktionswerkzeug,Multifunktionswerkzeug - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=multifunktionswerkzeug&tag=balu17051-21,"https://m.media-amazon.com/images/I/81pZvXQ6HBL._AC_SR160,134_.jpg",34.99,in stock,new,Wohn-Fieber,Home & Garden,diy
diy-60,Präzisions Zangen Set,Präzisions Zangen Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=praezisions+zangen+set&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",18.99,in stock,new,Wohn-Fieber,Home & Garden,diy
diy-61,Lackierpistole Set,Lackierpistole Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lackierpistole+set&tag=balu17051-21,"https://m.media-amazon.com/images/I/61pZvXQ6HBL._AC_SR160,134_.jpg",27.99,in stock,new,Wohn-Fieber,Home & Garden,diy
diy-62,Werkzeugkoffer gefüllt,Werkzeugkoffer gefüllt - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=werkzeugkoffer+gefuellt&tag=balu17051-21,"https://m.media-amazon.com/images/I/71pZvXQ6HBL._AC_SR160,134_.jpg",59.99,in stock,new,Wohn-Fieber,Home & Garden,diy
bestseller-63,Ninja Heißluftfritteuse XXL,Ninja Heißluftfritteuse XXL - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=ninja+heissluftfritteuse+xxl&tag=balu17051-21,https://m.media-amazon.com/images/I/81uOlPYW6VL._AC_SY300_SX300_QL70_ML2_.jpg,99.99,in stock,new,Wohn-Fieber,Home & Garden,bestseller
bestseller-64,Vexilar W8 Saugroboter,Vexilar W8 Saugroboter - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=vexilar+w8+saugroboter&tag=balu17051-21,https://m.media-amazon.com/images/I/813uvRgOpUL._AC_SL1500_.jpg,199.99,in stock,new,Wohn-Fieber,Home & Garden,bestseller
bestseller-65,Ninja Luxe Café Premier,Ninja Luxe Café Premier - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=ninja+luxe+cafe+premier&tag=balu17051-21,https://m.media-amazon.com/images/I/811J8urmwwL._AC_SL1500_.jpg,149.99,in stock,new,Wohn-Fieber,Home & Garden,bestseller
bestseller-66,LEGO Pokemon Set,LEGO Pokemon Set - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=lego+pokemon&tag=balu17051-21,"https://m.media-amazon.com/images/I/91pZvXQ6HBL._AC_SR160,134_.jpg",34.99,in stock,new,Wohn-Fieber,Home & Garden,bestseller
bestseller-67,Tapo D205 Türklingel,Tapo D205 Türklingel - Wohn-Fieber Amazon Affiliate,https://www.amazon.de/s?k=tapo+d205&tag=balu17051-21,https://m.media-amazon.com/images/I/61bZbYAhsL._AC_SL1500_.jpg,39.99,in stock,new,Wohn-Fieber,Home & Garden,bestseller
